,task1,task2,epoch,step,images_needed,target test acc,reached test acc,Label index0,Label index1,Label index2,Label index3,Label index4,Label index5,Label index6,Label index7,Label index8,Label index9
1583,"[0, 2, 5]","[1, 3, 7, 8]",19,26,0,97.73833333333334,80.4424904268898,,,,,,,,,,
1584,"[0, 5, 7]","[1, 2, 6, 9]",19,26,0,97.93833333333332,85.58430480523174,,,,,,,,,,
1585,"[0, 2, 6, 7, 8]","[1, 3, 4, 9]",19,34,0,97.77,82.7953447518665,,,,,,,,,,
1586,"[0, 2, 3, 8]","[1, 4, 6, 7]",19,30,0,97.69666666666666,83.8251636004445,,,,,,,,,,
1587,"[0, 1, 2, 3, 8]","[4, 5, 7, 9]",19,33,0,97.92666666666666,82.10572882105728,,,,,,,,,,
1588,"[0, 3, 7]","[1, 2, 5, 9]",19,26,0,97.34333333333332,86.42393451876941,,,,,,,,,,
1589,"[0, 2]","[1, 4, 5, 6, 7, 8, 9]",19,33,0,97.855,80.7007786429366,,,,,,,,,,
1590,"[0, 5, 6, 8]","[1, 2, 4, 7]",19,29,0,97.68833333333332,86.27991479764441,,,,,,,,,,
1591,"[0, 4, 6, 7]","[1, 3]",19,23,0,97.945,88.69194157229607,,,,,,,,,,
1592,"[0, 1, 2, 9]","[3, 4, 6, 7]",19,30,0,98.01166666666668,86.48881239242685,,,,,,,,,,
1593,"[0, 1, 4, 5, 9]","[2, 3, 7, 8]",19,33,0,97.945,80.84494580844945,,,,,,,,,,
1594,"[0, 2, 6]","[1, 3, 8]",19,22,0,97.84,84.9729019543439,,,,,,,,,,
1595,"[0, 6, 8]","[1, 2, 4, 5, 9]",19,29,0,97.56666666666666,83.11981914091938,,,,,,,,,,
1596,"[0, 5, 7, 8]","[1, 2, 4, 6]",19,29,0,98.01666666666668,84.03708808419998,,,,,,,,,,
1597,"[0, 2, 3, 6]","[1, 5]",19,22,0,97.81833333333331,85.35042450474447,,,,,,,,,,
1598,"[0, 5, 8]","[1, 2, 7, 9]",19,26,0,98.17666666666666,84.04255319148936,,,,,,,,,,
1599,"[1, 4, 5, 9]","[2, 3, 8]",19,26,0,97.64333333333332,78.19164060278646,,,,,,,,,,
1600,"[1, 4, 5, 6, 8, 9]","[2, 3, 7]",19,33,0,97.82666666666668,79.7450110864745,,,,,,,,,,
1601,"[0, 1, 3, 5, 7]","[2, 4, 6, 9]",19,33,0,98.095,87.11500110791049,,,,,,,,,,
1602,"[0, 4]","[1, 2, 6, 7, 8]",19,26,0,97.54,87.5440823811539,,,,,,,,,,
1603,"[0, 2, 4, 6, 7]","[1, 3, 5, 9]",19,33,0,97.80833333333334,84.5889652116109,,,,,,,,,,
1604,"[0, 2, 4]","[1, 5, 6, 7]",19,26,0,97.945,88.02625945483088,,,,,,,,,,
1605,"[0, 1, 2]","[3, 4, 8, 9]",19,26,0,97.73833333333334,82.79977534400449,,,,,,,,,,
1606,"[2, 4, 6, 7, 9]","[3, 5, 8]",19,29,0,97.52,72.18769816106531,,,,,,,,,,
1607,"[1, 4, 7, 9]","[2, 3, 6]",19,26,0,97.56666666666666,84.19066256639643,,,,,,,,,,
1608,"[0, 5]","[1, 2, 7, 8]",19,22,0,97.775,82.10561165369971,,,,,,,,,,
1609,"[1, 2, 3, 5]","[4, 6, 7, 9]",19,30,0,98.10333333333332,83.85533184190902,,,,,,,,,,
1610,"[0, 5, 9]","[1, 2, 4, 6, 7]",19,30,0,97.77833333333334,86.11526946107784,,,,,,,,,,
1611,"[2, 8, 9]","[3, 4, 6]",19,22,0,97.84,75.79212070410729,,,,,,,,,,
1612,"[0, 1, 4, 7, 9]","[2, 3, 5, 8]",19,33,0,97.73333333333332,80.13713780137138,,,,,,,,,,
1613,"[1, 3, 5, 8]","[2, 4, 7, 9]",19,30,0,97.58666666666667,79.23592160754154,,,,,,,,,,
1614,"[0, 4, 6, 7, 8]","[1, 2, 5, 9]",19,33,0,97.74166666666667,83.559510567297,,,,,,,,,,
1615,"[3, 5, 8]","[4, 6, 9]",19,21,0,97.225,69.6824034334764,,,,,,,,,,
1616,"[0, 2, 5, 9]","[1, 3, 6, 7]",19,30,0,98.01166666666668,83.25459970164097,,,,,,,,,,
1617,"[0, 2, 4, 7]","[1, 3, 6, 8]",19,30,0,97.58666666666667,83.726385973577,,,,,,,,,,
1618,"[0, 7]","[1, 2, 5, 9]",19,22,0,97.59166666666668,88.61092824226465,,,,,,,,,,
1619,"[2, 7, 9]","[3, 4, 8]",19,22,0,97.69666666666666,76.12261806130903,,,,,,,,,,
1620,"[0, 2, 7]","[1, 3, 5, 6, 8, 9]",19,33,0,97.66333333333334,79.27478376580173,,,,,,,,,,
1621,"[1, 5, 6]","[2, 3, 8, 9]",19,26,0,97.965,79.6718972895863,,,,,,,,,,
1622,"[1, 4, 7]","[2, 3, 6, 9]",19,26,0,97.58666666666667,82.9046687168018,,,,,,,,,,
1623,"[0, 1, 7]","[2, 4]",19,19,0,97.44166666666668,92.57320147372504,,,,,,,,,,
1624,"[0, 2, 4, 6, 8]","[1, 3, 7, 9]",19,34,0,97.81833333333331,83.75054896794028,,,,,,,,,,
1625,"[1, 2, 4]","[3, 5, 9]",19,22,0,98.15833333333332,79.19141914191418,,,,,,,,,,
1626,"[0, 2, 3, 4]","[1, 5, 7]",19,26,0,97.93833333333332,87.34948292959342,,,,,,,,,,
1627,"[1, 3, 4, 5, 6, 8]","[2, 7, 9]",19,33,0,97.84,81.82926829268293,,,,,,,,,,
1628,"[0, 3, 7]","[1, 4, 5]",19,22,0,97.365,88.08694209391074,,,,,,,,,,
1629,"[0, 4, 6, 9]","[1, 3, 5]",19,26,0,97.945,84.38128050531152,,,,,,,,,,
1630,"[0, 5]","[1, 3, 4, 6, 7]",19,26,0,97.74166666666667,87.8740157480315,,,,,,,,,,
1631,"[0, 1, 2, 5, 7]","[3, 4, 8, 9]",19,33,0,97.77333333333334,82.22738332227382,,,,,,,,,,
1632,"[1, 4, 8]","[2, 3, 7]",19,23,0,97.58333333333331,85.48936860899204,,,,,,,,,,
1633,"[0, 1, 2, 6]","[3, 4, 8]",19,26,0,97.45,86.6638382124169,,,,,,,,,,
1634,"[1, 2, 4, 7]","[3, 5, 6, 9]",19,30,0,97.46666666666668,84.07904548844147,,,,,,,,,,
1635,"[0, 2, 7, 9]","[1, 3, 6]",19,26,0,97.97333333333331,87.05257270693512,,,,,,,,,,
1636,"[0, 2, 6, 7, 8]","[1, 3, 9]",19,30,0,97.73166666666664,83.94043809992617,,,,,,,,,,
1637,"[1, 3, 8]","[2, 4, 6]",19,22,0,97.64833333333334,82.07190937448695,,,,,,,,,,
1638,"[1, 3, 6, 9]","[2, 4, 7]",19,26,0,97.58333333333331,85.64439474419905,,,,,,,,,,
1639,"[0, 5, 6, 8]","[1, 2, 7, 9]",19,30,0,97.81833333333331,83.36663336663337,,,,,,,,,,
1640,"[1, 2, 3, 5, 6]","[4, 7, 9]",19,30,0,97.58666666666667,82.5876211782252,,,,,,,,,,
1641,"[0, 5, 7, 9]","[1, 2, 4, 6]",19,30,0,97.81666666666666,86.86377245508982,,,,,,,,,,
1642,"[0, 2, 8, 9]","[1, 3, 5, 6]",19,29,0,97.945,81.56445556946183,,,,,,,,,,
1643,"[2, 3, 9]","[4, 5, 8]",19,22,0,97.93833333333332,77.13171724021021,,,,,,,,,,
1644,"[1, 2]","[3, 4, 9]",19,19,0,97.77833333333334,83.95897832817337,,,,,,,,,,
1645,"[1, 7, 8]","[2, 4, 5]",19,22,0,97.92666666666666,86.41403276518285,,,,,,,,,,
1646,"[3, 4, 5, 8]","[6, 7, 9]",19,25,0,97.45166666666668,77.95126222092514,,,,,,,,,,
1647,"[1, 3, 5, 6, 9]","[2, 4, 7, 8]",19,33,0,97.58666666666667,80.19955654101996,,,,,,,,,,
1648,"[1, 2, 6, 7, 9]","[3, 4, 5, 8]",19,33,0,97.44166666666668,82.33924611973393,,,,,,,,,,
1649,"[0, 1, 2, 5, 6, 9]","[3, 4, 8]",19,33,0,97.67,82.88007133303611,,,,,,,,,,
1650,"[0, 3, 5, 7]","[1, 2, 6, 8, 9]",19,33,0,97.84,78.0439121756487,,,,,,,,,,
1651,"[0, 1, 4, 6, 7]","[2, 3, 8]",19,30,0,97.49833333333332,84.28201012470676,,,,,,,,,,
1652,"[1, 4, 5, 9]","[2, 3, 7]",19,26,0,97.225,84.97460496613995,,,,,,,,,,
1653,"[1, 2, 4, 6, 7]","[3, 5, 8, 9]",19,33,0,97.45166666666668,83.470066518847,,,,,,,,,,
1654,"[0, 1, 3]","[2, 4, 7, 8, 9]",19,30,0,97.52,83.48466257668711,,,,,,,,,,
1655,"[2, 4, 5, 7, 9]","[3, 6, 8]",19,29,0,97.855,73.3417882054534,,,,,,,,,,
1656,"[0, 4, 6, 8]","[1, 3, 5]",19,26,0,97.385,79.33920069254076,,,,,,,,,,
1657,"[2, 4]","[3, 5, 7]",19,18,0,97.44166666666668,79.99595469255664,,,,,,,,,,
1658,"[1, 2, 6]","[3, 4, 7, 8, 9]",19,30,0,97.86333333333332,82.8863188976378,,,,,,,,,,
1659,"[1, 2, 6, 7, 8, 9]","[3, 4, 5]",19,33,0,97.66333333333334,80.74279379157427,,,,,,,,,,
1660,"[0, 3]","[1, 2, 7, 8]",19,23,0,97.73333333333332,85.17616496184446,,,,,,,,,,
1661,"[0, 2, 4, 5, 8]","[1, 3, 9]",19,29,0,97.87166666666668,83.06713251809333,,,,,,,,,,
1662,"[1, 5, 6, 9]","[2, 3, 8]",19,26,0,97.56666666666666,83.20970042796006,,,,,,,,,,
1663,"[0, 2, 4, 7]","[1, 3, 8, 9]",19,30,0,97.945,81.87730061349693,,,,,,,,,,
1664,"[0, 1, 5]","[2, 3, 6, 7, 9]",19,30,0,97.945,85.74092491297863,,,,,,,,,,
1665,"[0, 2, 4]","[1, 3, 6, 8]",19,26,0,97.52666666666666,88.0639230660444,,,,,,,,,,
1666,"[1, 3, 6, 7]","[2, 4, 9]",19,26,0,97.47333333333331,84.73581213307241,,,,,,,,,,
1667,"[0, 1, 5, 6]","[2, 3, 7]",19,26,0,97.87166666666668,85.44420753375978,,,,,,,,,,
1668,"[0, 3, 4, 6]","[1, 2, 9]",19,26,0,97.64333333333332,88.34787503518153,,,,,,,,,,
1669,"[1, 2, 8]","[3, 4, 7]",19,23,0,98.00666666666666,83.89871774062652,,,,,,,,,,
1670,"[0, 1]","[2, 3, 6]",19,19,0,98.00666666666666,89.61876832844575,,,,,,,,,,
1671,"[0, 5]","[1, 3, 4, 6, 8]",19,26,0,98.06166666666668,81.33025537440484,,,,,,,,,,
1672,"[2, 3, 7, 8]","[4, 5, 6, 9]",19,29,0,97.44666666666669,72.33988585922638,,,,,,,,,,
1673,"[2, 4, 8]","[3, 5, 7]",19,22,0,97.70666666666666,71.59513349104427,,,,,,,,,,
1674,"[0, 5, 9]","[1, 3, 4]",19,22,0,98.01166666666668,83.50532623169109,,,,,,,,,,
1675,"[0, 3]","[1, 4, 5, 6]",19,22,0,97.77833333333334,86.38576464663421,,,,,,,,,,
1676,"[1, 3, 4]","[2, 5, 7]",19,22,0,97.89166666666668,86.69189011350551,,,,,,,,,,
1677,"[2, 6, 8]","[3, 4, 5, 9]",19,25,0,97.945,78.80997520781683,,,,,,,,,,
1678,"[0, 2, 8, 9]","[1, 3, 6]",19,26,0,97.705,85.24936601859679,,,,,,,,,,
1679,"[0, 2, 3]","[1, 4, 6, 8, 9]",19,30,0,97.84,84.88861386138615,,,,,,,,,,
1680,"[0, 7, 9]","[1, 2, 4, 5]",19,26,0,97.955,88.77869084726552,,,,,,,,,,
1681,"[0, 2, 3, 4]","[1, 6]",19,22,0,97.49833333333332,89.10939806462194,,,,,,,,,,
1682,"[0, 4, 5, 7, 8]","[1, 2, 6]",19,29,0,97.77833333333334,85.70354592156372,,,,,,,,,,
1683,"[0, 2, 9]","[1, 3, 5, 8]",19,26,0,97.81833333333331,82.2952218430034,,,,,,,,,,
1684,"[0, 4]","[1, 2, 6, 7, 8, 9]",19,30,0,98.10333333333332,86.19412200543344,,,,,,,,,,
1685,"[0, 2, 5]","[1, 3, 9]",19,22,0,97.77,86.06800924397491,,,,,,,,,,
1686,"[1, 2, 5, 6, 9]","[3, 4, 7, 8]",19,33,0,97.69666666666666,82.42793791574279,,,,,,,,,,
1687,"[1, 4, 5]","[2, 3, 8, 9]",19,26,0,97.945,79.14415695194769,,,,,,,,,,
1688,"[0, 1]","[2, 3, 8, 9]",19,22,0,98.11,83.1270358306189,,,,,,,,,,
1689,"[0, 2]","[1, 4, 5, 6, 7]",19,26,0,97.31666666666666,89.48194662480377,,,,,,,,,,
1690,"[0, 2]","[1, 3, 6, 8, 9]",19,26,0,97.45166666666668,84.54494223724993,,,,,,,,,,
1691,"[0, 8]","[1, 3, 4, 5, 9]",19,26,0,98.10333333333332,78.88857061014036,,,,,,,,,,
1692,"[2, 4]","[3, 5, 8, 9]",19,22,0,97.70833333333331,77.72503814205798,,,,,,,,,,
1693,"[0, 1, 9]","[2, 3, 5, 7, 8]",19,30,0,97.885,81.89826302729529,,,,,,,,,,
1694,"[1, 3, 4]","[2, 6]",19,19,0,97.945,89.83779558334962,,,,,,,,,,
1695,"[3, 4, 5, 6]","[7, 8, 9]",19,25,0,98.11,74.63884430176564,,,,,,,,,,
1696,"[0, 1, 7]","[2, 3, 6, 9]",19,26,0,97.07833333333332,87.40212527964206,,,,,,,,,,
1697,"[0, 2, 6, 8, 9]","[1, 3, 4, 7]",19,34,0,97.64833333333334,85.66095740008784,,,,,,,,,,
1698,"[0, 2, 3, 7]","[1, 4, 6, 8]",19,30,0,98.09,85.92418817137919,,,,,,,,,,
1699,"[1, 2, 9]","[3, 5]",19,18,0,97.58666666666667,83.81252461599054,,,,,,,,,,
1700,"[1, 4, 5, 6, 9]","[2, 3, 8]",19,29,0,97.945,79.79229229229229,,,,,,,,,,
1701,"[0, 4, 5, 6]","[1, 3]",19,22,0,97.945,86.85579989927817,,,,,,,,,,
1702,"[0, 1, 2, 5, 8, 9]","[3, 4, 7]",19,33,0,97.705,79.78323379783234,,,,,,,,,,
1703,"[0, 3, 6]","[1, 4, 5]",19,22,0,98.00666666666666,88.09803592412288,,,,,,,,,,
1704,"[0, 1]","[2, 3, 7, 8]",19,23,0,97.705,85.67949342425717,,,,,,,,,,
1705,"[0, 1, 2, 3, 8]","[4, 5, 9]",19,29,0,97.855,82.13127027701522,,,,,,,,,,
1706,"[0, 2]","[1, 4]",19,15,0,97.44666666666669,91.81399854686364,,,,,,,,,,
1707,"[1, 6]","[2, 3, 5, 7, 8, 9]",19,30,0,97.945,76.58621547648669,,,,,,,,,,
1708,"[0, 2, 3]","[1, 4, 6, 7, 9]",19,30,0,97.225,86.58716498647652,,,,,,,,,,
1709,"[0, 2, 3, 6, 7]","[1, 4, 8]",19,30,0,97.945,85.7389801210026,,,,,,,,,,
1710,"[1, 3, 4, 6, 7]","[2, 5, 9]",19,30,0,97.945,83.07233407904549,,,,,,,,,,
1711,"[0, 6, 7]","[1, 2, 5, 8]",19,26,0,97.46666666666668,84.92641805972282,,,,,,,,,,
1712,"[0, 7]","[1, 2, 8, 9]",19,22,0,97.865,88.0805456316986,,,,,,,,,,
1713,"[1, 7, 8]","[2, 3, 6]",19,23,0,97.73333333333332,84.43865080658301,,,,,,,,,,
1714,"[0, 1, 3, 6, 7]","[2, 4, 9]",19,30,0,97.815,87.263339070568,,,,,,,,,,
1715,"[0, 2, 3, 5, 8]","[1, 4, 6, 9]",19,33,0,97.58666666666667,84.88631297369594,,,,,,,,,,
1716,"[0, 3]","[1, 4, 5, 6, 7]",19,26,0,98.10333333333332,88.11739441660703,,,,,,,,,,
1717,"[0, 4]","[1, 2, 6, 7, 9]",19,26,0,98.01166666666668,88.99494665918024,,,,,,,,,,
1718,"[0, 5, 7, 8]","[1, 2, 6, 9]",19,30,0,97.69666666666666,83.76623376623377,,,,,,,,,,
1719,"[1, 3, 9]","[2, 4, 6, 7, 8]",19,30,0,97.76333333333334,83.71062992125984,,,,,,,,,,
1720,"[1, 4, 8]","[2, 5, 6]",19,22,0,97.46666666666668,82.37066800602713,,,,,,,,,,
1721,"[1, 3, 8]","[2, 4, 7, 9]",19,26,0,97.81833333333331,82.60808926080892,,,,,,,,,,
1722,"[1, 7, 8]","[2, 3, 6, 9]",19,26,0,97.395,81.696053736356,,,,,,,,,,
1723,"[0, 3, 4, 5]","[1, 6]",19,22,0,97.66,86.25146886016452,,,,,,,,,,
1724,"[1, 3, 5, 8, 9]","[2, 4, 7]",19,30,0,97.87166666666668,80.16621185809973,,,,,,,,,,
1725,"[0, 2, 6, 8, 9]","[1, 3, 5, 7]",19,33,0,97.98833333333332,79.18607229984475,,,,,,,,,,
1726,"[0, 3]","[1, 2, 8]",19,19,0,97.46666666666668,83.74585850711362,,,,,,,,,,
1727,"[0, 2, 6, 9]","[1, 3, 7, 8]",19,30,0,97.82,83.62047747969481,,,,,,,,,,
1728,"[0, 3, 4, 8, 9]","[1, 2, 6]",19,30,0,97.77833333333334,85.38366336633663,,,,,,,,,,
1729,"[2, 9]","[3, 4, 6]",19,18,0,97.73333333333332,76.81827289120416,,,,,,,,,,
1730,"[0, 3, 8, 9]","[1, 2, 5, 6, 7]",19,33,0,97.32333333333332,79.90685296074518,,,,,,,,,,
1731,"[2, 3, 8]","[4, 5, 6, 9]",19,25,0,97.58666666666667,79.49540615429488,,,,,,,,,,
1732,"[1, 2, 3, 8, 9]","[4, 5, 6, 7]",19,33,0,97.54,80.1219512195122,,,,,,,,,,
1733,"[0, 2, 5]","[1, 3, 6, 7, 8]",19,30,0,97.73833333333334,80.54688475465102,,,,,,,,,,
1734,"[1, 2, 7, 9]","[3, 4, 8]",19,26,0,97.83833333333334,81.67364016736401,,,,,,,,,,
1735,"[0, 9]","[1, 2, 4, 5, 6, 8]",19,29,0,98.10333333333332,83.58452650087918,,,,,,,,,,
1736,"[1, 2, 3, 7]","[4, 5, 9]",19,26,0,97.835,83.86004514672686,,,,,,,,,,
1737,"[0, 9]","[1, 3, 4, 5, 7, 8]",19,30,0,97.84,84.99375780274657,,,,,,,,,,
1738,"[0, 2, 8, 9]","[1, 3, 6, 7]",19,30,0,97.73333333333332,83.74353925670687,,,,,,,,,,
1739,"[0, 1, 3, 5, 7]","[2, 4, 8, 9]",19,33,0,97.32166666666666,81.92877681928776,,,,,,,,,,
1740,"[0, 4, 5, 6]","[1, 2, 7]",19,26,0,97.74166666666667,89.567575281861,,,,,,,,,,
1741,"[0, 4]","[1, 3]",19,15,0,97.79833333333332,94.93547601655709,,,,,,,,,,
1742,"[0, 3, 6, 8]","[1, 2, 5]",19,26,0,97.46666666666668,82.5669674831686,,,,,,,,,,
1743,"[2, 5]","[3, 4, 8, 9]",19,22,0,97.47333333333331,77.2164773690456,,,,,,,,,,
1744,"[0, 3, 4]","[1, 2, 6, 8]",19,26,0,97.73333333333332,87.0456795361335,,,,,,,,,,
1745,"[0, 3, 4, 9]","[1, 2, 7]",19,26,0,97.815,89.18617614269789,,,,,,,,,,
1746,"[0, 1, 7, 9]","[2, 4, 5]",19,26,0,97.68166666666669,87.74440351374328,,,,,,,,,,
1747,"[0, 1, 7]","[2, 3, 5, 6]",19,26,0,97.99833333333332,85.89907604832977,,,,,,,,,,
1748,"[0, 2, 3, 7]","[1, 4, 6, 8, 9]",19,34,0,97.87,84.72771190162494,,,,,,,,,,
1749,"[1, 4, 8]","[2, 3, 6, 9]",19,26,0,97.91666666666666,78.25352112676056,,,,,,,,,,
1750,"[0, 1, 5, 7, 9]","[2, 3, 8]",19,30,0,97.82666666666668,79.05707196029776,,,,,,,,,,
1751,"[0, 1, 2, 4, 5]","[3, 6, 8]",19,29,0,97.58666666666667,81.1754363933191,,,,,,,,,,
1752,"[0, 2, 3, 7, 8]","[1, 4, 6]",19,30,0,97.58666666666667,85.3315224101741,,,,,,,,,,
1753,"[0, 7]","[1, 3, 4]",19,19,0,97.56666666666666,91.89873417721519,,,,,,,,,,
1754,"[1, 3, 5]","[2, 4, 8, 9]",19,26,0,97.87166666666668,81.14870628376457,,,,,,,,,,
1755,"[1, 3, 5, 7]","[2, 4, 6, 9]",19,30,0,97.81833333333331,83.89261744966443,,,,,,,,,,
1756,"[0, 2, 4, 7]","[1, 3, 9]",19,26,0,97.44166666666668,87.66722408026756,,,,,,,,,,
1757,"[0, 4]","[1, 3, 5, 6, 9]",19,26,0,97.58666666666667,84.49612403100775,,,,,,,,,,
1758,"[0, 2, 3, 7, 9]","[1, 4, 6, 8]",19,34,0,97.86333333333332,81.67545015371103,,,,,,,,,,
1759,"[1, 3, 4, 5, 6]","[2, 7, 9]",19,30,0,97.225,82.92319164802386,,,,,,,,,,
1760,"[0, 3, 6, 9]","[1, 4, 5]",19,26,0,97.97333333333331,85.08469710020098,,,,,,,,,,
1761,"[0, 4, 7]","[1, 2, 5, 6, 8, 9]",19,33,0,97.47,84.36040044493882,,,,,,,,,,
1762,"[1, 3, 4, 5, 8]","[2, 6, 9]",19,29,0,97.855,82.19469469469469,,,,,,,,,,
1763,"[0, 1, 8]","[2, 3, 5, 6]",19,26,0,97.58666666666667,80.77639306689586,,,,,,,,,,
1764,"[0, 2, 4, 5, 6, 7]","[1, 3, 9]",19,33,0,98.00666666666666,86.82694438289387,,,,,,,,,,
1765,"[3, 8]","[4, 5, 9]",19,18,0,97.59,66.6324224368194,,,,,,,,,,
1766,"[0, 1, 6, 9]","[2, 3, 7, 8]",19,30,0,97.98833333333332,84.03888752153581,,,,,,,,,,
1767,"[1, 5]","[2, 3, 8, 9]",19,22,0,97.86333333333332,80.6345009914078,,,,,,,,,,
1768,"[2, 4, 6, 8, 9]","[3, 5, 7]",19,29,0,97.46666666666668,73.60811667723526,,,,,,,,,,
1769,"[0, 2, 3, 4, 8]","[1, 5, 9]",19,29,0,97.84,82.2435737459446,,,,,,,,,,
1770,"[0, 5]","[1, 2, 6, 7, 8, 9]",19,30,0,97.46666666666668,81.89310689310689,,,,,,,,,,
1771,"[0, 1, 6, 7, 9]","[2, 3, 5]",19,30,0,98.01166666666668,84.99502734957733,,,,,,,,,,
1772,"[0, 1, 2]","[3, 4, 6, 9]",19,26,0,97.445,87.39093723613848,,,,,,,,,,
1773,"[0, 4, 5, 7]","[1, 2, 6]",19,26,0,97.835,89.43913229627516,,,,,,,,,,
1774,"[0, 6, 7]","[1, 2, 9]",19,23,0,98.03,89.20547053077173,,,,,,,,,,
1775,"[1, 5, 6]","[2, 3, 7, 8, 9]",19,30,0,97.97333333333331,78.4523513311769,,,,,,,,,,
1776,"[2, 7]","[3, 5, 6]",19,18,0,97.225,72.3780487804878,,,,,,,,,,
1777,"[0, 1, 2]","[3, 5, 6, 7]",19,26,0,98.195,85.71428571428571,,,,,,,,,,
1778,"[1, 3]","[2, 4, 8, 9]",19,22,0,97.71333333333332,80.41354607619667,,,,,,,,,,
1779,"[2, 6]","[3, 5]",19,14,0,97.935,80.16443987667009,,,,,,,,,,
1780,"[0, 2, 3]","[1, 5, 6, 7, 8]",19,30,0,98.0,79.91010113622174,,,,,,,,,,
1781,"[0, 1, 3, 6, 8, 9]","[2, 4, 7]",19,34,0,97.8,85.29863855950812,,,,,,,,,,
1782,"[0, 1, 2, 5]","[3, 4, 8]",19,26,0,97.84,82.92648108493933,,,,,,,,,,
1783,"[0, 4, 7, 9]","[1, 2, 8]",19,26,0,97.93833333333332,87.24089635854342,,,,,,,,,,
1784,"[1, 5, 6, 7, 8]","[2, 3, 9]",19,30,0,97.86833333333334,76.62353819358049,,,,,,,,,,
1785,"[1, 4, 6, 7]","[2, 3, 9]",19,26,0,97.58,81.52082750908582,,,,,,,,,,
1786,"[1, 3, 7]","[2, 4, 8, 9]",19,26,0,98.11,81.63179916317992,,,,,,,,,,
1787,"[0, 1, 7, 8]","[2, 4]",19,22,0,97.67,89.67541999673789,,,,,,,,,,
1788,"[0, 1, 3, 4, 8]","[2, 5, 9]",19,29,0,97.58333333333331,81.09558273022212,,,,,,,,,,
1789,"[0, 3, 4, 6]","[1, 2, 7, 9]",19,30,0,97.755,86.96828128841898,,,,,,,,,,
1790,"[0, 2, 9]","[1, 3, 5, 6, 8]",19,29,0,97.58666666666667,80.12515644555694,,,,,,,,,,
1791,"[1, 2, 9]","[3, 4, 6, 8]",19,26,0,98.09,81.28169014084507,,,,,,,,,,
1792,"[0, 3]","[1, 2, 5, 7, 8, 9]",19,30,0,97.92666666666666,81.19106699751862,,,,,,,,,,
1793,"[1, 2, 7, 9]","[3, 4, 6]",19,26,0,97.945,85.85406765445904,,,,,,,,,,
1794,"[0, 7, 9]","[1, 2, 8]",19,22,0,97.855,87.60961351088015,,,,,,,,,,
1795,"[0, 6]","[1, 2, 4, 5, 7, 9]",19,30,0,97.84,85.02994011976048,,,,,,,,,,
1796,"[1, 4, 5]","[2, 3, 9]",19,22,0,97.96833333333332,81.66666666666667,,,,,,,,,,
1797,"[0, 3, 7, 8]","[1, 2, 6]",19,26,0,97.945,86.35661093157229,,,,,,,,,,
1798,"[1, 5]","[2, 3, 6, 7, 9]",19,26,0,97.99833333333332,80.23782559456399,,,,,,,,,,
1799,"[1, 2, 5, 9]","[3, 4, 7, 8]",19,30,0,97.08833333333334,79.40957578764575,,,,,,,,,,
1800,"[0, 4, 6]","[1, 2, 5, 8, 9]",19,29,0,97.56833333333331,83.63476513438835,,,,,,,,,,
1801,"[0, 1, 3, 6, 7]","[2, 4, 5, 9]",19,33,0,97.82666666666668,85.67471748282739,,,,,,,,,,
1802,"[1, 8]","[2, 3, 5, 6, 7, 9]",19,30,0,97.32166666666666,76.1632246827569,,,,,,,,,,
1803,"[0, 6, 8, 9]","[1, 2, 4, 5, 7]",19,33,0,97.77833333333334,84.36040044493882,,,,,,,,,,
1804,"[0, 2, 4]","[1, 3, 6, 7, 8, 9]",19,34,0,97.81833333333331,84.39833113746157,,,,,,,,,,
1805,"[1, 4, 9]","[2, 5, 6]",19,22,0,98.07,82.4733688415446,,,,,,,,,,
1806,"[2, 3, 5, 6]","[4, 7, 9]",19,25,0,97.52,75.30024598466213,,,,,,,,,,
1807,"[3, 4, 9]","[5, 6, 8]",19,21,0,97.935,63.63948497854077,,,,,,,,,,
1808,"[1, 7]","[2, 4, 5, 6, 8]",19,26,0,98.10333333333332,80.4599342951007,,,,,,,,,,
1809,"[0, 5, 7]","[1, 2, 6]",19,22,0,97.935,89.42738589211618,,,,,,,,,,
1810,"[0, 2, 3, 5, 7]","[1, 4, 8]",19,30,0,98.00666666666666,81.14029627785385,,,,,,,,,,
1811,"[1, 2, 4]","[3, 5, 8, 9]",19,26,0,97.59,76.82684105771965,,,,,,,,,,
1812,"[0, 3, 6, 8, 9]","[1, 2, 7]",19,30,0,97.50333333333332,84.33423578636476,,,,,,,,,,
1813,"[0, 3, 6]","[1, 4, 5, 7]",19,26,0,97.615,87.4874731567645,,,,,,,,,,
1814,"[1, 3, 9]","[2, 4, 7, 8]",19,26,0,97.45166666666668,80.9205020920502,,,,,,,,,,
1815,"[0, 4, 9]","[1, 2, 5, 6, 8]",19,29,0,97.81833333333331,84.8279326802311,,,,,,,,,,
1816,"[0, 1, 4, 5, 6, 9]","[2, 3, 8]",19,33,0,97.73333333333332,83.14757021845742,,,,,,,,,,
1817,"[0, 2, 9]","[1, 3, 6]",19,22,0,97.84166666666668,86.95297191378184,,,,,,,,,,
1818,"[0, 7]","[1, 2, 4, 5, 8, 9]",19,30,0,96.64,86.66583665338645,,,,,,,,,,
1819,"[0, 1, 2, 3]","[4, 5, 8, 9]",19,29,0,98.22,82.85500374344896,,,,,,,,,,
1820,"[0, 2, 4, 6]","[1, 5, 7]",19,26,0,97.45166666666668,89.68174682460398,,,,,,,,,,
